cle_obs,code_departement,nom_departement,annee_ref,type_info_geo
1093859,974,"La Réunion",2017,Rattachement
1093860,974,"La Réunion",2017,Rattachement
1093861,974,"La Réunion",2017,Rattachement
1093862,974,"La Réunion",2017,Rattachement
1093863,974,"La Réunion",2017,Rattachement
1093864,974,"La Réunion",2017,Rattachement
1093865,974,"La Réunion",2017,Rattachement
1093866,974,"La Réunion",2017,Rattachement
1093867,974,"La Réunion",2017,Rattachement
1093868,974,"La Réunion",2017,Rattachement
1093869,974,"La Réunion",2017,Rattachement
1093870,974,"La Réunion",2017,Rattachement
1093871,974,"La Réunion",2017,Rattachement
1093872,974,"La Réunion",2017,Rattachement
1093873,974,"La Réunion",2017,Rattachement
1093874,974,"La Réunion",2017,Rattachement
1093875,974,"La Réunion",2017,Rattachement
1093876,974,"La Réunion",2017,Rattachement
1093877,974,"La Réunion",2017,Rattachement
1093878,974,"La Réunion",2017,Rattachement
1093879,974,"La Réunion",2017,Rattachement
1093880,974,"La Réunion",2017,Rattachement
1093881,974,"La Réunion",2017,Rattachement
1093882,974,"La Réunion",2017,Rattachement
1093883,974,"La Réunion",2017,Rattachement
1093884,974,"La Réunion",2017,Rattachement
1093885,974,"La Réunion",2017,Rattachement
1093886,974,"La Réunion",2017,Rattachement
1093887,974,"La Réunion",2017,Rattachement
1093888,974,"La Réunion",2017,Rattachement
1093889,974,"La Réunion",2017,Rattachement
1093890,974,"La Réunion",2017,Rattachement
1093891,974,"La Réunion",2017,Rattachement
1093892,974,"La Réunion",2017,Rattachement
1093893,974,"La Réunion",2017,Rattachement
1093894,974,"La Réunion",2017,Rattachement
1093895,974,"La Réunion",2017,Rattachement
1093896,974,"La Réunion",2017,Rattachement
1093897,974,"La Réunion",2017,Rattachement
1093898,974,"La Réunion",2017,Rattachement
1093899,974,"La Réunion",2017,Rattachement
1093900,974,"La Réunion",2017,Rattachement
1093901,974,"La Réunion",2017,Rattachement
1093902,974,"La Réunion",2017,Rattachement
1093903,974,"La Réunion",2017,Rattachement
1093904,974,"La Réunion",2017,Rattachement
1093905,974,"La Réunion",2017,Rattachement
1093906,974,"La Réunion",2017,Rattachement
1093907,974,"La Réunion",2017,Rattachement
1093908,974,"La Réunion",2017,Rattachement
1093909,974,"La Réunion",2017,Rattachement
1093910,974,"La Réunion",2017,Rattachement
1093911,974,"La Réunion",2017,Rattachement
1093912,974,"La Réunion",2017,Rattachement
1093913,974,"La Réunion",2017,Rattachement
1093914,974,"La Réunion",2017,Rattachement
1093915,974,"La Réunion",2017,Rattachement
1093916,974,"La Réunion",2017,Rattachement
1093917,974,"La Réunion",2017,Rattachement
1093918,974,"La Réunion",2017,Rattachement
1093919,974,"La Réunion",2017,Rattachement
1093920,974,"La Réunion",2017,Rattachement
1093921,974,"La Réunion",2017,Rattachement
1093922,974,"La Réunion",2017,Rattachement
1093923,974,"La Réunion",2017,Rattachement
1093924,974,"La Réunion",2017,Rattachement
1093925,974,"La Réunion",2017,Rattachement
1093926,974,"La Réunion",2017,Rattachement
1093927,974,"La Réunion",2017,Rattachement
1093928,974,"La Réunion",2017,Rattachement
1093929,974,"La Réunion",2017,Rattachement
1093930,974,"La Réunion",2017,Rattachement
1093931,974,"La Réunion",2017,Rattachement
1093932,974,"La Réunion",2017,Rattachement
1093933,974,"La Réunion",2017,Rattachement
1093934,974,"La Réunion",2017,Rattachement
1093935,974,"La Réunion",2017,Rattachement
1093936,974,"La Réunion",2017,Rattachement
1093937,974,"La Réunion",2017,Rattachement
1093938,974,"La Réunion",2017,Rattachement
1093939,974,"La Réunion",2017,Rattachement
1093940,974,"La Réunion",2017,Rattachement
1093941,974,"La Réunion",2017,Rattachement
1093942,974,"La Réunion",2017,Rattachement
1093943,974,"La Réunion",2017,Rattachement
1093944,974,"La Réunion",2017,Rattachement
1093945,974,"La Réunion",2017,Rattachement
1093946,974,"La Réunion",2017,Rattachement
1093947,974,"La Réunion",2017,Rattachement
1093948,974,"La Réunion",2017,Rattachement
1093949,974,"La Réunion",2017,Rattachement
1093950,974,"La Réunion",2017,Rattachement
1093951,974,"La Réunion",2017,Rattachement
1093952,974,"La Réunion",2017,Rattachement
1093953,974,"La Réunion",2017,Rattachement
1093954,974,"La Réunion",2017,Rattachement
1093955,974,"La Réunion",2017,Rattachement
1093956,974,"La Réunion",2017,Rattachement
1093957,974,"La Réunion",2017,Rattachement
1093958,974,"La Réunion",2017,Rattachement
1093959,974,"La Réunion",2017,Rattachement
1093960,974,"La Réunion",2017,Rattachement
1093961,974,"La Réunion",2017,Rattachement
1093962,974,"La Réunion",2017,Rattachement
1093963,974,"La Réunion",2017,Rattachement
1093964,974,"La Réunion",2017,Rattachement
1093965,974,"La Réunion",2017,Rattachement
1093966,974,"La Réunion",2017,Rattachement
1093967,974,"La Réunion",2017,Rattachement
1093968,974,"La Réunion",2017,Rattachement
1093969,974,"La Réunion",2017,Rattachement
1093970,974,"La Réunion",2017,Rattachement
1093971,974,"La Réunion",2017,Rattachement
1093972,974,"La Réunion",2017,Rattachement
1093973,974,"La Réunion",2017,Rattachement
1093974,974,"La Réunion",2017,Rattachement
1093975,974,"La Réunion",2017,Rattachement
1093976,974,"La Réunion",2017,Rattachement
1093977,974,"La Réunion",2017,Rattachement
1093978,974,"La Réunion",2017,Rattachement
1093979,974,"La Réunion",2017,Rattachement
1093980,974,"La Réunion",2017,Rattachement
1093981,974,"La Réunion",2017,Rattachement
1093982,974,"La Réunion",2017,Rattachement
1093983,974,"La Réunion",2017,Rattachement
1093984,974,"La Réunion",2017,Rattachement
1093985,974,"La Réunion",2017,Rattachement
1093986,974,"La Réunion",2017,Rattachement
1093987,974,"La Réunion",2017,Rattachement
1093988,974,"La Réunion",2017,Rattachement
1093989,974,"La Réunion",2017,Rattachement
1093990,974,"La Réunion",2017,Rattachement
1093991,974,"La Réunion",2017,Rattachement
1093992,974,"La Réunion",2017,Rattachement
1093993,974,"La Réunion",2017,Rattachement
1093994,974,"La Réunion",2017,Rattachement
1093995,974,"La Réunion",2017,Rattachement
1093996,974,"La Réunion",2017,Rattachement
1093997,974,"La Réunion",2017,Rattachement
1093998,974,"La Réunion",2017,Rattachement
1093999,974,"La Réunion",2017,Rattachement
1094000,974,"La Réunion",2017,Rattachement
1094001,974,"La Réunion",2017,Rattachement
1094002,974,"La Réunion",2017,Rattachement
1094003,974,"La Réunion",2017,Rattachement
1094004,974,"La Réunion",2017,Rattachement
1094005,974,"La Réunion",2017,Rattachement
1094006,974,"La Réunion",2017,Rattachement
1094007,974,"La Réunion",2017,Rattachement
1094008,974,"La Réunion",2017,Rattachement
1094009,974,"La Réunion",2017,Rattachement
1094010,974,"La Réunion",2017,Rattachement
1094011,974,"La Réunion",2017,Rattachement
1094012,974,"La Réunion",2017,Rattachement
1094013,974,"La Réunion",2017,Rattachement
1094014,974,"La Réunion",2017,Rattachement
1094015,974,"La Réunion",2017,Rattachement
1094016,974,"La Réunion",2017,Rattachement
1094017,974,"La Réunion",2017,Rattachement
1094018,974,"La Réunion",2017,Rattachement
1094019,974,"La Réunion",2017,Rattachement
1094020,974,"La Réunion",2017,Rattachement
1094021,974,"La Réunion",2017,Rattachement
1094022,974,"La Réunion",2017,Rattachement
1094023,974,"La Réunion",2017,Rattachement
1094024,974,"La Réunion",2017,Rattachement
1094025,974,"La Réunion",2017,Rattachement
1094026,974,"La Réunion",2017,Rattachement
1094027,974,"La Réunion",2017,Rattachement
1094028,974,"La Réunion",2017,Rattachement
1094029,974,"La Réunion",2017,Rattachement
1094030,974,"La Réunion",2017,Rattachement
1094031,974,"La Réunion",2017,Rattachement
1094032,974,"La Réunion",2017,Rattachement
1094033,974,"La Réunion",2017,Rattachement
1094034,974,"La Réunion",2017,Rattachement
1094035,974,"La Réunion",2017,Rattachement
1094036,974,"La Réunion",2017,Rattachement
1094037,974,"La Réunion",2017,Rattachement
1094038,974,"La Réunion",2017,Rattachement
1094039,974,"La Réunion",2017,Rattachement
1094040,974,"La Réunion",2017,Rattachement
1094041,974,"La Réunion",2017,Rattachement
1094042,974,"La Réunion",2017,Rattachement
1094043,974,"La Réunion",2017,Rattachement
1094044,974,"La Réunion",2017,Rattachement
1094045,974,"La Réunion",2017,Rattachement
1094046,974,"La Réunion",2017,Rattachement
1094047,974,"La Réunion",2017,Rattachement
1094048,974,"La Réunion",2017,Rattachement
1094049,974,"La Réunion",2017,Rattachement
1094050,974,"La Réunion",2017,Rattachement
1094051,974,"La Réunion",2017,Rattachement
1094052,974,"La Réunion",2017,Rattachement
1094053,974,"La Réunion",2017,Rattachement
1094054,974,"La Réunion",2017,Rattachement
1094055,974,"La Réunion",2017,Rattachement
1094056,974,"La Réunion",2017,Rattachement
1094057,974,"La Réunion",2017,Rattachement
1094058,974,"La Réunion",2017,Rattachement
1094059,974,"La Réunion",2017,Rattachement
1094060,974,"La Réunion",2017,Rattachement
1094061,974,"La Réunion",2017,Rattachement
1094062,974,"La Réunion",2017,Rattachement
1094063,974,"La Réunion",2017,Rattachement
1094064,974,"La Réunion",2017,Rattachement
1094065,974,"La Réunion",2017,Rattachement
1094066,974,"La Réunion",2017,Rattachement
1094067,974,"La Réunion",2017,Rattachement
1094068,974,"La Réunion",2017,Rattachement
1094069,974,"La Réunion",2017,Rattachement
1094070,974,"La Réunion",2017,Rattachement
1094071,974,"La Réunion",2017,Rattachement
1094072,974,"La Réunion",2017,Rattachement
1094073,974,"La Réunion",2017,Rattachement
1094074,974,"La Réunion",2017,Rattachement
1094075,974,"La Réunion",2017,Rattachement
1094076,974,"La Réunion",2017,Rattachement
1094077,974,"La Réunion",2017,Rattachement
1094078,974,"La Réunion",2017,Rattachement
1094079,974,"La Réunion",2017,Rattachement
1094080,974,"La Réunion",2017,Rattachement
1094081,974,"La Réunion",2017,Rattachement
1094082,974,"La Réunion",2017,Rattachement
1094083,974,"La Réunion",2017,Rattachement
1094084,974,"La Réunion",2017,Rattachement
1094085,974,"La Réunion",2017,Rattachement
1094086,974,"La Réunion",2017,Rattachement
1094087,974,"La Réunion",2017,Rattachement
1094088,974,"La Réunion",2017,Rattachement
1094089,974,"La Réunion",2017,Rattachement
1094090,974,"La Réunion",2017,Rattachement
1094091,974,"La Réunion",2017,Rattachement
1094092,974,"La Réunion",2017,Rattachement
1094093,974,"La Réunion",2017,Rattachement
1094094,974,"La Réunion",2017,Rattachement
1094095,974,"La Réunion",2017,Rattachement
1094096,974,"La Réunion",2017,Rattachement
1094097,974,"La Réunion",2017,Rattachement
1094098,974,"La Réunion",2017,Rattachement
1094099,974,"La Réunion",2017,Rattachement
1094100,974,"La Réunion",2017,Rattachement
1094101,974,"La Réunion",2017,Rattachement
1094102,974,"La Réunion",2017,Rattachement
1094103,974,"La Réunion",2017,Rattachement
1094104,974,"La Réunion",2017,Rattachement
1094105,974,"La Réunion",2017,Rattachement
1094106,974,"La Réunion",2017,Rattachement
1094107,974,"La Réunion",2017,Rattachement
1094108,974,"La Réunion",2017,Rattachement
1094109,974,"La Réunion",2017,Rattachement
1094110,974,"La Réunion",2017,Rattachement
1094111,974,"La Réunion",2017,Rattachement
1094112,974,"La Réunion",2017,Rattachement
1094113,974,"La Réunion",2017,Rattachement
1094114,974,"La Réunion",2017,Rattachement
1094115,974,"La Réunion",2017,Rattachement
1094116,974,"La Réunion",2017,Rattachement
1094117,974,"La Réunion",2017,Rattachement
1094118,974,"La Réunion",2017,Rattachement
1094119,974,"La Réunion",2017,Rattachement
1094120,974,"La Réunion",2017,Rattachement
1094121,974,"La Réunion",2017,Rattachement
1094122,974,"La Réunion",2017,Rattachement
1094123,974,"La Réunion",2017,Rattachement
1094124,974,"La Réunion",2017,Rattachement
1094125,974,"La Réunion",2017,Rattachement
1094126,974,"La Réunion",2017,Rattachement
1094127,974,"La Réunion",2017,Rattachement
1094128,974,"La Réunion",2017,Rattachement
1094129,974,"La Réunion",2017,Rattachement
1094130,974,"La Réunion",2017,Rattachement
1094131,974,"La Réunion",2017,Rattachement
1094132,974,"La Réunion",2017,Rattachement
1094133,974,"La Réunion",2017,Rattachement
1094134,974,"La Réunion",2017,Rattachement
1094135,974,"La Réunion",2017,Rattachement
1094136,974,"La Réunion",2017,Rattachement
1094137,974,"La Réunion",2017,Rattachement
1094138,974,"La Réunion",2017,Rattachement
1094139,974,"La Réunion",2017,Rattachement
1094140,974,"La Réunion",2017,Rattachement
1094141,974,"La Réunion",2017,Rattachement
1094142,974,"La Réunion",2017,Rattachement
1094143,974,"La Réunion",2017,Rattachement
1094144,974,"La Réunion",2017,Rattachement
1094145,974,"La Réunion",2017,Rattachement
1094146,974,"La Réunion",2017,Rattachement
1094147,974,"La Réunion",2017,Rattachement
1094148,974,"La Réunion",2017,Rattachement
1094149,974,"La Réunion",2017,Rattachement
1094150,974,"La Réunion",2017,Rattachement
1094151,974,"La Réunion",2017,Rattachement
1094152,974,"La Réunion",2017,Rattachement
1094153,974,"La Réunion",2017,Rattachement
1094154,974,"La Réunion",2017,Rattachement
1094155,974,"La Réunion",2017,Rattachement
1094156,974,"La Réunion",2017,Rattachement
1094157,974,"La Réunion",2017,Rattachement
1094158,974,"La Réunion",2017,Rattachement
1094159,974,"La Réunion",2017,Rattachement
1094160,974,"La Réunion",2017,Rattachement
1094161,974,"La Réunion",2017,Rattachement
1094162,974,"La Réunion",2017,Rattachement
1094163,974,"La Réunion",2017,Rattachement
1094164,974,"La Réunion",2017,Rattachement
1094165,974,"La Réunion",2017,Rattachement
1094166,974,"La Réunion",2017,Rattachement
1094167,974,"La Réunion",2017,Rattachement
1094168,974,"La Réunion",2017,Rattachement
1094169,974,"La Réunion",2017,Rattachement
1094170,974,"La Réunion",2017,Rattachement
