cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1093939,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1196906,2kmUTM40E322S7656,2019,"SINP 974",Rattachement
1197708,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1182785,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1189733,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1097065,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1195774,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1094670,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189468,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1192081,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1190203,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1188305,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1187731,2kmUTM40E322S7656,2019,"SINP 974",Rattachement
1191029,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1198689,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1192245,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1195481,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1195663,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1180142,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1180064,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1095579,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1196832,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1093597,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1195885,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1192272,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1184006,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1179231,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1096020,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1185570,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1181125,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1094738,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190938,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177860,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1185397,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1180886,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1183540,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1182714,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1183605,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1181224,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1186395,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1182483,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1197389,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
