cle_obs,nom,definition,valeur,unite,thematique,type
1093693,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187394,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189608,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1093675,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1195586,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095183,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189010,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196420,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181426,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094502,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179114,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178263,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178970,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177538,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187510,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197456,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095341,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192896,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095248,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188556,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190850,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185660,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094847,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094778,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187836,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187746,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196208,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188291,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190747,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192123,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095274,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185546,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189837,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177890,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189733,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096713,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094284,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179014,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095519,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096167,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196341,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186616,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184225,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192699,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1182842,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1195439,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190442,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192103,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196797,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1198756,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186783,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189263,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1193075,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196078,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196522,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183619,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189442,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196054,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181950,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094388,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196004,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096268,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196755,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
