cle_obs,code_me,version_me,date_me,type_info_geo
1181397,FRLC06,2,2016-11-01,Rattachement
1186907,FRLC05,2,2016-11-01,Rattachement
1094953,FRLC11,2,2016-11-01,Rattachement
1094974,FRLC11,2,2016-11-01,Rattachement
1187726,FRLC05,2,2016-11-01,Rattachement
1096572,FRLC09,2,2016-11-01,Rattachement
1198292,FRLC06,2,2016-11-01,Rattachement
1186480,FRLC05,2,2016-11-01,Rattachement
1186773,FRLC08,2,2016-11-01,Rattachement
1096535,FRLC09,2,2016-11-01,Rattachement
1095657,FRLC11,2,2016-11-01,Rattachement
1178177,FRLC05,2,2016-11-01,Rattachement
1177320,FRLC06,2,2016-11-01,Rattachement
1182855,FRLC06,2,2016-11-01,Rattachement
1184726,FRLC05,2,2016-11-01,Rattachement
1094136,FRLC11,2,2016-11-01,Rattachement
1178858,FRLC06,2,2016-11-01,Rattachement
1184044,FRLC05,2,2016-11-01,Rattachement
1096098,FRLC11,2,2016-11-01,Rattachement
1198451,FRLC05,2,2016-11-01,Rattachement
1195724,FRLC06,2,2016-11-01,Rattachement
1187772,FRLC05,2,2016-11-01,Rattachement
1096871,FRLC11,2,2016-11-01,Rattachement
1179633,FRLC05,2,2016-11-01,Rattachement
1189353,FRLC09,2,2016-11-01,Rattachement
1185633,FRLC05,2,2016-11-01,Rattachement
1096450,FRLC09,2,2016-11-01,Rattachement
1189346,FRLC09,2,2016-11-01,Rattachement
1094773,FRLC11,2,2016-11-01,Rattachement
1179053,FRLC06,2,2016-11-01,Rattachement
1185711,FRLC05,2,2016-11-01,Rattachement
1096868,FRLC11,2,2016-11-01,Rattachement
1187200,FRLC05,2,2016-11-01,Rattachement
1183719,FRLC06,2,2016-11-01,Rattachement
1182803,FRLC05,2,2016-11-01,Rattachement
1195776,FRLC06,2,2016-11-01,Rattachement
1187600,FRLC08,2,2016-11-01,Rattachement
1184681,FRLC05,2,2016-11-01,Rattachement
1093839,FRLC11,2,2016-11-01,Rattachement
1183100,FRLC05,2,2016-11-01,Rattachement
1187866,FRLC05,2,2016-11-01,Rattachement
1182719,FRLC05,2,2016-11-01,Rattachement
1187528,FRLC08,2,2016-11-01,Rattachement
1179042,FRLC06,2,2016-11-01,Rattachement
1189667,FRLC11,2,2016-11-01,Rattachement
1186702,FRLC08,2,2016-11-01,Rattachement
1181271,FRLC05,2,2016-11-01,Rattachement
1192036,FRLC12,2,2016-11-01,Rattachement
1094969,FRLC11,2,2016-11-01,Rattachement
1183243,FRLC06,2,2016-11-01,Rattachement
1183922,FRLC05,2,2016-11-01,Rattachement
1187578,FRLC08,2,2016-11-01,Rattachement
1178101,FRLC05,2,2016-11-01,Rattachement
1180022,FRLC05,2,2016-11-01,Rattachement
1197108,FRLC05,2,2016-11-01,Rattachement
1093621,FRLC11,2,2016-11-01,Rattachement
1185780,FRLC05,2,2016-11-01,Rattachement
